Win,Loss,Team,Data,,
8,33,CIN,"[8, 27, 1877]",,
29,17,BSN,"[8, 28, 1877]",,
27,19,LOU,"[8, 28, 1877]",,
24,21,HAR,"[8, 28, 1877]",,
9,33,CIN,"[8, 28, 1877]",,
30,17,BSN,"[8, 30, 1877]",,
9,34,CIN,"[8, 30, 1877]",,
27,20,LOU,"[8, 31, 1877]",,
25,21,HAR,"[8, 31, 1877]",,
31,17,BSN,"[9, 1, 1877]",,
9,35,CIN,"[9, 1, 1877]",,
32,17,BSN,"[9, 3, 1877]",,
9,36,CIN,"[9, 3, 1877]",,
33,17,BSN,"[9, 4, 1877]",,
20,24,CHC,"[9, 4, 1877]",,
34,17,BSN,"[9, 6, 1877]",,
24,22,STL,"[9, 6, 1877]",,
10,36,CIN,"[9, 6, 1877]",,
10,37,CIN,"[9, 7, 1877]",,
34,18,BSN,"[9, 8, 1877]",,
28,22,LOU,"[9, 8, 1877]",,
24,23,STL,"[9, 8, 1877]",,
21,24,CHC,"[9, 8, 1877]",,
11,37,CIN,"[9, 8, 1877]",,
35,18,BSN,"[9, 11, 1877]",,
27,22,HAR,"[9, 11, 1877]",,
25,23,STL,"[9, 11, 1877]",,
21,25,CHC,"[9, 11, 1877]",,
27,23,HAR,"[9, 12, 1877]",,
26,23,STL,"[9, 12, 1877]",,
36,18,BSN,"[9, 13, 1877]",,
28,23,LOU,"[9, 13, 1877]",,
26,24,STL,"[9, 13, 1877]",,
12,37,CIN,"[9, 13, 1877]",,
29,23,LOU,"[9, 14, 1877]",,
21,26,CHC,"[9, 14, 1877]",,
12,38,CIN,"[9, 14, 1877]",,
37,18,BSN,"[9, 15, 1877]",,
28,24,HAR,"[9, 15, 1877]",,
26,25,STL,"[9, 15, 1877]",,
22,26,CHC,"[9, 15, 1877]",,
22,27,CHC,"[9, 17, 1877]",,
29,24,HAR,"[9, 18, 1877]",,
26,26,STL,"[9, 18, 1877]",,
39,18,BSN,"[9, 20, 1877]",,
30,24,HAR,"[9, 21, 1877]",,
22,29,CHC,"[9, 21, 1877]",,
31,24,HAR,"[9, 22, 1877]",,
22,30,CHC,"[9, 22, 1877]",,
26,27,STL,"[9, 24, 1877]",,
26,28,STL,"[9, 25, 1877]",,
14,38,CIN,"[9, 25, 1877]",,
31,25,HAR,"[9, 26, 1877]",,
23,30,CHC,"[9, 26, 1877]",,
